"","GOI","Freq"
"496","ENSG00000266019.1",13828
"318","ENSG00000171053.10",13322
"347","ENSG00000182333.15",13055
"284","ENSG00000164822.5",12866
"283","ENSG00000164816.8",12795
"136","ENSG00000124157.7",12328
"439","ENSG00000212232.1",12260
"446","ENSG00000224099.2",12052
"159","ENSG00000129151.9",11952
"492","ENSG00000261667.1",11946
"296","ENSG00000167580.8",11812
"128","ENSG00000122133.17",11689
"440","ENSG00000212402.1",11620
"257","ENSG00000159763.4",11606
"303","ENSG00000168530.16",11544
"392","ENSG00000200959.1",11458
"469","ENSG00000238741.1",11236
"313","ENSG00000170290.4",11207
"137","ENSG00000124233.12",11100
"330","ENSG00000174358.16",11004
"45","ENSG00000092054.13",10972
"98","ENSG00000111245.17",10972
"20","ENSG00000053438.11",10874
"335","ENSG00000175832.13",10785
"354","ENSG00000184956.16",10722
"72","ENSG00000105048.17",10578
"211","ENSG00000143632.14",10569
"155","ENSG00000128040.11",10426
"400","ENSG00000206634.1",10369
"458","ENSG00000229314.5",10310
"271","ENSG00000163331.12",10153
"329","ENSG00000173991.6",10103
"391","ENSG00000200087.1",10034
"485","ENSG00000252010.1",9959
"441","ENSG00000212464.1",9747
"275","ENSG00000163810.12",9528
"501","ENSG00000276168.1",9339
"285","ENSG00000164879.7",9233
"176","ENSG00000132744.8",9222
"316","ENSG00000170373.8",8920
"323","ENSG00000171401.15",8887
"184","ENSG00000135346.9",8857
"478","ENSG00000244468.1",8814
"278","ENSG00000164266.11",8802
"488","ENSG00000256148.1",8477
"450","ENSG00000225972.1",8425
"401","ENSG00000207445.1",8387
"505","ENSG00000283907.1",8194
"433","ENSG00000211946.3",8179
"359","ENSG00000186526.13",8052
"104","ENSG00000114854.8",8023
"368","ENSG00000188488.14",8012
"18","ENSG00000042832.12",7970
"315","ENSG00000170369.4",7742
"44","ENSG00000091138.13",7499
"493","ENSG00000262902.1",7466
"460","ENSG00000229604.2",7286
"463","ENSG00000232216.1",6852
"197","ENSG00000139219.19",6834
"71","ENSG00000104879.5",6666
"181","ENSG00000134193.15",6565
"185","ENSG00000135744.8",6487
"1","ENSG00000002726.21",6263
"486","ENSG00000252835.1",6097
"358","ENSG00000186474.15",5707
"84","ENSG00000107018.8",5565
"47","ENSG00000096006.12",5536
"398","ENSG00000206072.13",5274
"226","ENSG00000149021.7",5244
"422","ENSG00000211892.4",5227
"83","ENSG00000107014.9",5087
"412","ENSG00000211662.2",5043
"92","ENSG00000109063.15",4982
"160","ENSG00000129437.11",4969
"65","ENSG00000102837.7",4876
"472","ENSG00000240382.3",4583
"385","ENSG00000198744.5",4545
"438","ENSG00000211966.2",4421
