"ENSEMBL","ENTREZID"
"ENSG00000129151","8424"
"ENSG00000212402","677841"
"ENSG00000159763","5304"
"ENSG00000164266","6690"
"ENSG00000053438","4826"
"ENSG00000261667","101928108"
"ENSG00000206634","677807"
"ENSG00000006468","2115"
"ENSG00000128040","6691"
"ENSG00000124107","6590"
"ENSG00000096006","10321"
"ENSG00000252010","677775"
"ENSG00000206072","89778"
"ENSG00000198744","107075270"
"ENSG00000167580","359"
"ENSG00000175356","57758"
"ENSG00000229344","107075310"
"ENSG00000229604","106479042"
"ENSG00000184956","4588"
"ENSG00000212464","677800"
"ENSG00000049089","1298"
"ENSG00000188488","5104"
"ENSG00000266019","100500819"
"ENSG00000276168","6029"
"ENSG00000171053","160065"
"ENSG00000164816","1670"
"ENSG00000182333","8513"
"ENSG00000212232","692086"
"ENSG00000100285","4744"
"ENSG00000124157","6407"
"ENSG00000139219","1280"
"ENSG00000227418","64002"
"ENSG00000170373","1469"
"ENSG00000186526","11283"
"ENSG00000122133","5047"
"ENSG00000002726","26"
"ENSG00000167653","8000"
"ENSG00000207445","114599"
"ENSG00000244468","128193290"
"ENSG00000132744","91703"
"ENSG00000166920","84419"
"ENSG00000175832","2118"
"ENSG00000164822","1671"
"ENSG00000107018","6013"
"ENSG00000240382","28937"
"ENSG00000171401","3860"
"ENSG00000174358","340024"
"ENSG00000229314","5004"
"ENSG00000211946","28445"
"ENSG00000124233","6406"
"ENSG00000186474","43849"
"ENSG00000134193","83998"
"ENSG00000129437","43847"
"ENSG00000102837","10562"
"ENSG00000149021","7356"
"ENSG00000122585","4852"
"ENSG00000164687","2171"
"ENSG00000163331","92196"
"ENSG00000042832","7038"
"ENSG00000200959","26821"
"ENSG00000161055","92304"
"ENSG00000238741","677767"
"ENSG00000170369","1470"
"ENSG00000135744","183"
"ENSG00000267056","729654"
"ENSG00000091138","1811"
"ENSG00000163810","7047"
"ENSG00000167757","11012"
"ENSG00000079689","10590"
"ENSG00000200087","26768"
"ENSG00000204936","57126"
"ENSG00000188257","5320"
"ENSG00000135346","1081"
"ENSG00000121005","83690"
"ENSG00000211956","28395"
"ENSG00000263639","4477"
"ENSG00000107014","6019"
"ENSG00000211892","3503"
"ENSG00000169347","2813"
"ENSG00000100604","1113"
"ENSG00000243955","2938"
"ENSG00000196549","4311"
"ENSG00000101443","10406"
"ENSG00000211934","28474"
"ENSG00000107742","9806"
"ENSG00000187608","9636"
"ENSG00000232216","28426"
