"ENSEMBL","ENTREZID"
"ENSG00000000003","7105"
"ENSG00000000419","8813"
"ENSG00000001036","2519"
"ENSG00000001461","57185"
"ENSG00000001561","22875"
"ENSG00000001617","6405"
"ENSG00000002549","51056"
"ENSG00000002586","4267"
"ENSG00000002726","26"
"ENSG00000002746","23072"
"ENSG00000002834","3927"
"ENSG00000003056","4074"
"ENSG00000003147","3382"
"ENSG00000003436","7035"
"ENSG00000003989","6542"
"ENSG00000004059","381"
"ENSG00000004142","26073"
"ENSG00000004468","952"
"ENSG00000004478","2288"
"ENSG00000004487","23028"
"ENSG00000004534","10180"
"ENSG00000004776","126393"
"ENSG00000004779","4706"
"ENSG00000004799","5166"
"ENSG00000004838","51364"
"ENSG00000004848","170302"
"ENSG00000004864","10165"
"ENSG00000005001","64063"
"ENSG00000005007","5976"
"ENSG00000005020","8935"
"ENSG00000005022","292"
"ENSG00000005075","5439"
"ENSG00000005108","221981"
"ENSG00000005187","6296"
"ENSG00000005243","51226"
"ENSG00000005249","5577"
"ENSG00000005421","5444"
"ENSG00000005469","54677"
"ENSG00000005483","55904"
"ENSG00000005486","57414"
"ENSG00000005884","3675"
"ENSG00000005889","7543"
"ENSG00000005893","3920"
"ENSG00000006007","51573"
"ENSG00000006015","55049"
"ENSG00000006016","9244"
"ENSG00000006042","26022"
"ENSG00000006118","54972"
"ENSG00000006125","163"
"ENSG00000006210","6376"
"ENSG00000006282","64847"
"ENSG00000006327","51330"
"ENSG00000006453","55971"
"ENSG00000006468","2115"
"ENSG00000006625","79017"
"ENSG00000006712","54623"
"ENSG00000006756","414"
"ENSG00000006831","79602"
"ENSG00000007080","115098"
"ENSG00000007202","9703"
"ENSG00000007216","9058"
"ENSG00000007255","79090"
"ENSG00000007516","8938"
"ENSG00000007520","115939"
"ENSG00000007866","7005"
"ENSG00000007908","6401"
"ENSG00000007944","29116"
"ENSG00000008018","5689"
"ENSG00000008256","9265"
"ENSG00000008282","6856"
"ENSG00000008283","1534"
"ENSG00000008324","51188"
"ENSG00000008394","4257"
"ENSG00000008441","4784"
"ENSG00000008517","9235"
"ENSG00000008735","23542"
"ENSG00000008952","7095"
"ENSG00000008988","6224"
"ENSG00000009307","7812"
"ENSG00000009335","9690"
"ENSG00000009954","9031"
"ENSG00000010017","10048"
"ENSG00000010256","7384"
"ENSG00000010270","83930"
"ENSG00000010278","928"
"ENSG00000010319","56920"
"ENSG00000010322","11188"
"ENSG00000010610","920"
"ENSG00000010803","22955"
"ENSG00000011009","11313"
"ENSG00000011028","9902"
"ENSG00000011105","10867"
"ENSG00000011201","3730"
"ENSG00000011304","5725"
"ENSG00000011347","9066"
"ENSG00000011454","23637"
"ENSG00000011465","1634"
"ENSG00000011600","7305"
"ENSG00000011638","57146"
"ENSG00000012223","4057"
"ENSG00000012660","60481"
"ENSG00000012779","240"
"ENSG00000013016","30845"
"ENSG00000013275","5704"
"ENSG00000013288","23324"
"ENSG00000013306","51629"
"ENSG00000013364","9961"
"ENSG00000013375","5238"
"ENSG00000013392","112611"
"ENSG00000013441","1195"
"ENSG00000013561","9604"
"ENSG00000013583","50865"
"ENSG00000013588","9052"
"ENSG00000014123","23376"
"ENSG00000014216","823"
"ENSG00000014257","55"
"ENSG00000014641","4190"
"ENSG00000014824","10463"
"ENSG00000015171","10771"
"ENSG00000015413","1800"
"ENSG00000016490","1179"
"ENSG00000016602","22802"
"ENSG00000016864","55830"
"ENSG00000017260","27032"
"ENSG00000017427","3479"
"ENSG00000017797","10928"
"ENSG00000018236","1272"
"ENSG00000018408","25937"
"ENSG00000018625","477"
"ENSG00000019102","23584"
"ENSG00000019505","57586"
"ENSG00000019549","6591"
"ENSG00000019582","972"
"ENSG00000020129","23154"
"ENSG00000020181","25960"
"ENSG00000021300","58473"
"ENSG00000021355","1992"
"ENSG00000021826","1373"
"ENSG00000022267","2273"
"ENSG00000022840","9921"
"ENSG00000023191","6050"
"ENSG00000023287","9821"
"ENSG00000023318","23071"
"ENSG00000023330","211"
"ENSG00000023445","330"
"ENSG00000023572","51022"
"ENSG00000023734","11171"
"ENSG00000023902","51177"
"ENSG00000024422","30846"
"ENSG00000024862","25901"
"ENSG00000025423","8630"
"ENSG00000025708","1890"
"ENSG00000025772","10953"
"ENSG00000025796","11231"
"ENSG00000026025","7431"
"ENSG00000026508","960"
"ENSG00000027001","4285"
"ENSG00000027697","3459"
"ENSG00000028137","7133"
"ENSG00000028528","6642"
"ENSG00000028839","9519"
"ENSG00000029363","9774"
"ENSG00000029364","55334"
"ENSG00000029725","9135"
"ENSG00000029993","3149"
"ENSG00000030582","2896"
"ENSG00000031698","6301"
"ENSG00000033100","54480"
"ENSG00000034152","5606"
"ENSG00000034510","9168"
"ENSG00000034713","11345"
"ENSG00000035141","84908"
"ENSG00000035403","7414"
"ENSG00000035681","8439"
"ENSG00000035687","159"
"ENSG00000035720","26228"
"ENSG00000035862","7077"
"ENSG00000035928","5981"
"ENSG00000036448","9172"
"ENSG00000037241","51121"
"ENSG00000038002","175"
"ENSG00000038274","27430"
"ENSG00000038427","1462"
"ENSG00000039068","999"
"ENSG00000039139","1767"
"ENSG00000039650","11284"
"ENSG00000040633","79142"
"ENSG00000041353","5874"
"ENSG00000041357","5685"
"ENSG00000041982","3371"
"ENSG00000042445","54884"
"ENSG00000042493","822"
"ENSG00000042753","1175"
"ENSG00000042832","7038"
"ENSG00000043591","153"
"ENSG00000044115","1495"
"ENSG00000044459","54875"
"ENSG00000044524","2042"
"ENSG00000044574","3309"
"ENSG00000046604","1829"
"ENSG00000046653","2824"
"ENSG00000047249","51606"
"ENSG00000047315","5431"
"ENSG00000047457","1356"
"ENSG00000047644","55841"
"ENSG00000047648","395"
"ENSG00000047849","4134"
"ENSG00000048392","50484"
"ENSG00000048544","55173"
"ENSG00000048828","23196"
"ENSG00000049089","1298"
"ENSG00000049239","9563"
"ENSG00000049245","9341"
"ENSG00000049283","55040"
"ENSG00000049323","4052"
"ENSG00000049449","5954"
"ENSG00000049540","2006"
"ENSG00000049541","5982"
"ENSG00000049656","81037"
"ENSG00000049759","23327"
"ENSG00000049860","3074"
"ENSG00000050165","27122"
"ENSG00000050405","51474"
"ENSG00000051108","9709"
"ENSG00000051382","5291"
"ENSG00000051523","1535"
"ENSG00000051620","23593"
"ENSG00000052344","5652"
"ENSG00000052795","57600"
"ENSG00000052802","6307"
"ENSG00000053371","8574"
"ENSG00000053372","51154"
"ENSG00000053438","4826"
"ENSG00000053501","55850"
"ENSG00000053747","3909"
"ENSG00000053918","3784"
"ENSG00000054116","27095"
"ENSG00000054118","9967"
"ENSG00000054148","29085"
"ENSG00000054179","954"
"ENSG00000054690","57475"
"ENSG00000054793","10079"
"ENSG00000054938","25884"
"ENSG00000055044","51602"
"ENSG00000055070","26099"
"ENSG00000055130","8454"
"ENSG00000055208","23118"
"ENSG00000055211","116254"
"ENSG00000055917","23369"
"ENSG00000055950","84545"
"ENSG00000056050","54969"
"ENSG00000056097","51663"
"ENSG00000057252","6646"
"ENSG00000057608","2665"
"ENSG00000057704","57458"
"ENSG00000057757","57095"
"ENSG00000058063","23200"
